modul,profil,element,beruehrt_wegen,basis,url
biobank,MII_PR_Biobank_Specimen_Bioprobe,Specimen.processing.extension:temperaturbedingungen,min,MII_PR_Biobank_Specimen_Bioprobe_Core,https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/StructureDefinition/Specimen
biobank,MII_PR_Biobank_Specimen_Bioprobe,Specimen.processing:lagerprozess.extension:temperaturbedingungen,min,MII_PR_Biobank_Specimen_Bioprobe_Core,https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/StructureDefinition/Specimen
biobank,MII_PR_Biobank_Specimen_Bioprobe,Specimen.container,min,MII_PR_Biobank_Specimen_Bioprobe_Core,https://www.medizininformatik-initiative.de/fhir/ext/modul-biobank/StructureDefinition/Specimen
icu,MII_PR_ICU_VENT_Inspiratorischer_Gasfluss,Observation.category:kuenstlicheBeatmung,"max,min,patternCodeableConcept",MII_PR_ICU_Parameter_Von_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-inspiratorischer-gasfluss
icu,MII_PR_ICU_VENT_Inspiratorischer_Gasfluss,Observation.code.coding,min,MII_PR_ICU_Parameter_Von_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-inspiratorischer-gasfluss
icu,MII_PR_ICU_VENT_Inspiratorischer_Gasfluss,Observation.code.coding:sct,max,MII_PR_ICU_Parameter_Von_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-inspiratorischer-gasfluss
icu,MII_PR_ICU_VENT_Inspiratorischer_Gasfluss,Observation.code.coding:loinc,"max,min,patternCoding",MII_PR_ICU_Parameter_Von_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-inspiratorischer-gasfluss
icu,MII_PR_ICU_VENT_Inspiratorischer_Gasfluss,Observation.code.coding:IEEE-11073,"max,min,patternCoding",MII_PR_ICU_Parameter_Von_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-inspiratorischer-gasfluss
icu,MII_PR_ICU_VENT_Inspiratorischer_Gasfluss,Observation.value[x],patternQuantity,MII_PR_ICU_Parameter_Von_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-inspiratorischer-gasfluss
icu,MII_PR_ICU_ECT_Venoeser_Druck,Observation.code.coding:sct,"max,min,patternCoding",MII_PR_ICU_Parameter_Von_Extrakorporalen_Verfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-venoeser-druck
icu,MII_PR_ICU_ECT_Venoeser_Druck,Observation.code.coding:loinc,max,MII_PR_ICU_Parameter_Von_Extrakorporalen_Verfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-venoeser-druck
icu,MII_PR_ICU_ECT_Venoeser_Druck,Observation.code.coding:IEEE-11073,max,MII_PR_ICU_Parameter_Von_Extrakorporalen_Verfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-venoeser-druck
icu,MII_PR_ICU_ECT_Venoeser_Druck,Observation.value[x],patternQuantity,MII_PR_ICU_Parameter_Von_Extrakorporalen_Verfahren,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-venoeser-druck
icu,MII_PR_ICU_VENT_Atemzugvolumen_Waehrend_Beatmung,Observation.category:kuenstlicheBeatmung,"max,min,patternCodeableConcept",MII_PR_ICU_Parameter_Von_Beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-atemzugvolumen-waehrend-beatmung
