legacy_package,profile_name,resource_type,legacy_url,base_url,url_changed,legacy_versions,base_versions,transition_category,transition_breaking,elements_added,elements_removed
diagnose,Diagnose,Condition,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,True,0.9.0|0.9.1|0.9.2,2026.0.0,mixed,True,Condition.bodySite.coding:snomed-ct.version|Condition.code.coding.code|Condition.code.coding:sct.version|Condition.code.text|Condition.extension|Condition.extension:Feststellungsdatum|Condition.extension:ReferenzPrimaerdiagnose|Condition.onset[x]:onsetAge|Condition.onset[x]:onsetAge.extension:Lebensphase-Beginn|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis.value[x]|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von.value[x]|Condition.verificationStatus,Condition|Condition.code.coding:icd10-gm.extension|Condition.code.coding:icd10-gm.extension:AusrufezeichenCode|Condition.code.coding:icd10-gm.extension:Diagnosesicherheit|Condition.code.coding:icd10-gm.extension:ManifestationsCode|Condition.code.coding:icd10-gm.extension:Primaercode|Condition.code.coding:icd10-gm.extension:Seitenlokalisation|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-ende|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-start
diagnose,Diagnose,Condition,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,False,0.9.3|0.9.4|0.9.5|0.9.6|1.0.0|1.0.1|1.0.2|1.0.3|1.0.4|2024.0.0|2025.0.0|2025.0.1,2026.0.0,elements-added,False,Condition.extension|Condition.onset[x]:onsetPeriod.end.extension|Condition.onset[x]:onsetPeriod.start.extension,
prozedur,Prozedur,Procedure,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/Procedure,https://www.medizininformatik-initiative.de/fhir/core/modul-prozedur/StructureDefinition/Procedure,True,0.9.0|0.9.1|0.9.2,2026.0.0,mixed,True,Procedure|Procedure.bodySite.coding|Procedure.bodySite.coding:snomed-ct|Procedure.bodySite.coding:snomed-ct.code|Procedure.bodySite.coding:snomed-ct.system|Procedure.bodySite.coding:snomed-ct.version|Procedure.code.coding:ops.extension:Seitenlokalisation|Procedure.encounter|Procedure.extension:Dokumentationsdatum|Procedure.performed[x]:performedDateTime|Procedure.performed[x]:performedPeriod,Procedure.code.coding:ops.extension|Procedure.code.coding:ops.extension:seitenlokalisation|Procedure.extension:recordedDate
prozedur,Prozedur,Procedure,https://www.medizininformatik-initiative.de/fhir/core/modul-prozedur/StructureDefinition/Procedure,https://www.medizininformatik-initiative.de/fhir/core/modul-prozedur/StructureDefinition/Procedure,False,0.9.3|0.9.4|1.0.0|1.0.1|1.0.2|1.0.3|1.0.4|1.0.5|1.0.6|1.0.7|1.0.8|2024.0.0|2025.0.0|2025.0.1,2026.0.0,elements-added,False,Procedure.encounter,
fall,Versorgungsfall,Encounter,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/Encounter/Versorgungsfall,https://www.medizininformatik-initiative.de/fhir/core/modul-fall/StructureDefinition/KontaktGesundheitseinrichtung,True,0.9.0|0.9.1,2026.0.0,mixed,True,Encounter.account|Encounter.diagnosis.rank|Encounter.diagnosis.use.coding:DiagnosesubTyp|Encounter.diagnosis.use.coding:Diagnosetyp|Encounter.extension|Encounter.extension:Aufnahmegrund|Encounter.extension:Aufnahmegrund.extension:DritteStelle|Encounter.extension:Aufnahmegrund.extension:ErsteUndZweiteStelle|Encounter.extension:Aufnahmegrund.extension:VierteStelle|Encounter.extension:plannedEndDate|Encounter.extension:plannedStartDate|Encounter.hospitalization|Encounter.hospitalization.admitSource|Encounter.hospitalization.dischargeDisposition|Encounter.hospitalization.dischargeDisposition.extension:Entlassungsgrund|Encounter.identifier:Aufnahmenummer|Encounter.identifier:Aufnahmenummer.system|Encounter.identifier:Aufnahmenummer.type|Encounter.identifier:Aufnahmenummer.type.coding|Encounter.identifier:Aufnahmenummer.type.coding:vn-type|Encounter.identifier:Aufnahmenummer.type.coding:vn-type.code|Encounter.identifier:Aufnahmenummer.type.coding:vn-type.system|Encounter.identifier:Aufnahmenummer.value|Encounter.location|Encounter.location.physicalType|Encounter.location:Bett|Encounter.location:Bett.physicalType|Encounter.location:Bett.status|Encounter.location:Station|Encounter.location:Station.physicalType|Encounter.location:Station.status|Encounter.location:Zimmer|Encounter.location:Zimmer.physicalType|Encounter.location:Zimmer.status|Encounter.partOf|Encounter.serviceProvider|Encounter.serviceType|Encounter.serviceType.coding|Encounter.serviceType.coding:ErweiterterFachabteilungsschluessel|Encounter.serviceType.coding:ErweiterterFachabteilungsschluessel.code|Encounter.serviceType.coding:ErweiterterFachabteilungsschluessel.system|Encounter.serviceType.coding:Fachabteilungsschluessel|Encounter.serviceType.coding:Fachabteilungsschluessel.code|Encounter.serviceType.coding:Fachabteilungsschluessel.system|Encounter.type|Encounter.type:KontaktArt|Encounter.type:Kontaktebene,Encounter.class.code|Encounter.class.system|Encounter.diagnosis.use.coding:aufnahmeDiagnose|Encounter.diagnosis.use.coding:aufnahmeDiagnose.code|Encounter.diagnosis.use.coding:aufnahmeDiagnose.system|Encounter.identifier:versorgungsfallNr|Encounter.identifier:versorgungsfallNr.assigner|Encounter.identifier:versorgungsfallNr.system|Encounter.identifier:versorgungsfallNr.type|Encounter.identifier:versorgungsfallNr.type.coding|Encounter.identifier:versorgungsfallNr.type.coding:vn|Encounter.identifier:versorgungsfallNr.type.coding:vn.code|Encounter.identifier:versorgungsfallNr.type.coding:vn.system|Encounter.identifier:versorgungsfallNr.value
fall,KontaktGesundheitseinrichtung,Encounter,https://www.medizininformatik-initiative.de/fhir/core/modul-fall/StructureDefinition/KontaktGesundheitseinrichtung,https://www.medizininformatik-initiative.de/fhir/core/modul-fall/StructureDefinition/KontaktGesundheitseinrichtung,False,0.9.2|0.9.3|0.9.4|1.0.0|1.0.1|2024.0.0|2024.0.1|2025.0.0|2025.0.1,2026.0.0,elements-added,False,Encounter.account|Encounter.extension,
person,PatientIn,Patient,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/Patient,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Patient,True,0.0.2|0.9.0|0.9.1|0.9.2|1.0.0|1.0.1|1.0.2|1.0.3,2026.0.0,mixed,True,Patient.identifier:pid.assigner.identifier.type|Patient.identifier:versichertenId|Patient.identifier:versichertenId.assigner|Patient.identifier:versichertenId.assigner.identifier|Patient.identifier:versichertenId.assigner.identifier.system|Patient.identifier:versichertenId.assigner.identifier.type|Patient.identifier:versichertenId.assigner.identifier.value|Patient.identifier:versichertenId.system|Patient.identifier:versichertenId.type|Patient.identifier:versichertenId.value,Patient.contact|Patient.identifier:pid.assigner.identifier.type.coding|Patient.identifier:pid.assigner.identifier.type.coding:XX-Type|Patient.identifier:pid.assigner.identifier.type.coding:XX-Type.code|Patient.identifier:pid.assigner.identifier.type.coding:XX-Type.system|Patient.identifier:pid.type.coding|Patient.identifier:pid.type.coding:MR-Type|Patient.identifier:pid.type.coding:MR-Type.code|Patient.identifier:pid.type.coding:MR-Type.system|Patient.identifier:versicherungsnummer_gkv|Patient.identifier:versicherungsnummer_gkv.assigner|Patient.identifier:versicherungsnummer_gkv.assigner.identifier|Patient.identifier:versicherungsnummer_gkv.assigner.identifier.system|Patient.identifier:versicherungsnummer_gkv.assigner.identifier.type|Patient.identifier:versicherungsnummer_gkv.assigner.identifier.type.coding|Patient.identifier:versicherungsnummer_gkv.assigner.identifier.type.coding:XX-Type|Patient.identifier:versicherungsnummer_gkv.assigner.identifier.type.coding:XX-Type.code|Patient.identifier:versicherungsnummer_gkv.assigner.identifier.type.coding:XX-Type.system|Patient.identifier:versicherungsnummer_gkv.assigner.identifier.value|Patient.identifier:versicherungsnummer_gkv.system|Patient.identifier:versicherungsnummer_gkv.type|Patient.identifier:versicherungsnummer_gkv.type.coding|Patient.identifier:versicherungsnummer_gkv.type.coding:GKV-Type|Patient.identifier:versicherungsnummer_gkv.type.coding:GKV-Type.code|Patient.identifier:versicherungsnummer_gkv.type.coding:GKV-Type.system|Patient.identifier:versicherungsnummer_gkv.value|Patient.identifier:versicherungsnummer_pkv|Patient.identifier:versicherungsnummer_pkv.assigner|Patient.identifier:versicherungsnummer_pkv.assigner.display|Patient.identifier:versicherungsnummer_pkv.assigner.identifier.system|Patient.identifier:versicherungsnummer_pkv.assigner.identifier.value|Patient.identifier:versicherungsnummer_pkv.type|Patient.identifier:versicherungsnummer_pkv.type.coding|Patient.identifier:versicherungsnummer_pkv.type.coding:PKV-Type|Patient.identifier:versicherungsnummer_pkv.type.coding:PKV-Type.code|Patient.identifier:versicherungsnummer_pkv.type.coding:PKV-Type.system|Patient.identifier:versicherungsnummer_pkv.use|Patient.identifier:versicherungsnummer_pkv.value|Patient.meta.source
person,Observation - Vitalstatus,Observation,https://www.medizininformatik-initiative.de/fhir/core/StructureDefinition/Vitalstatus,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Vitalstatus,True,0.0.2|0.9.0|0.9.1|0.9.2|1.0.0|1.0.1|1.0.2|1.0.3,2026.0.0,mixed,True,Observation.category:survey|Observation.encounter|Observation.note,Observation.category.coding|Observation.category.coding:survey|Observation.category.coding:survey.code|Observation.category.coding:survey.system|Observation.meta.source
person,PatientIn,Patient,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Patient,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Patient,False,1.0.4|1.0.5|1.0.6|1.0.7|1.0.8|1.0.9|1.0.10|1.0.11|1.0.12|1.0.13|1.0.14|1.0.15|1.0.16|1.0.17|2024.0.0|2025.0.0|2025.0.1,2026.0.0,elements-added,False,Patient.address:Postfach.city.extension|Patient.address:Strassenanschrift.city.extension|Patient.birthDate.extension|Patient.gender.extension,
person,MII_PR_Person_PatientPseudonymisiert,Patient,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,False,2024.0.0|2025.0.0|2025.0.1,2026.0.0,elements-added,False,Patient.address:Strassenanschrift.city.extension|Patient.gender.extension|Patient.identifier:MaskierterVersichertenIdentifer.value.extension,
