package,package_short,profile_url,profile_name,resource_type,from_version,to_version,category,elements_added_count,elements_removed_count,elements_modified_count,ms_added_count,ms_removed_count,has_breaking,elements_added,elements_removed
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,MII_PR_Diagnose_Condition,Condition,2026.0.0,2026.0.1,mixed,42,0,2,2,0,False,Condition|Condition.clinicalStatus.coding|Condition.clinicalStatus.coding.code|Condition.clinicalStatus.coding.system|Condition.code.coding:alpha-id.version|Condition.code.coding:icd10-gm.extension:Diagnosesicherheit|Condition.code.coding:icd10-gm.extension:Diagnosesicherheit.url|Condition.code.coding:icd10-gm.extension:Diagnosesicherheit.value[x]|Condition.code.coding:icd10-gm.extension:Diagnosesicherheit.value[x].code|Condition.code.coding:icd10-gm.extension:Diagnosesicherheit.value[x].system|Condition.code.coding:icd10-gm.extension:Mehrfachcodierungs-Kennzeichen|Condition.code.coding:icd10-gm.extension:Mehrfachcodierungs-Kennzeichen.url|Condition.code.coding:icd10-gm.extension:Mehrfachcodierungs-Kennzeichen.value[x]|Condition.code.coding:icd10-gm.extension:Mehrfachcodierungs-Kennzeichen.value[x].code|Condition.code.coding:icd10-gm.extension:Mehrfachcodierungs-Kennzeichen.value[x].system|Condition.code.coding:icd10-gm.extension:Seitenlokalisation|Condition.code.coding:icd10-gm.extension:Seitenlokalisation.url|Condition.code.coding:icd10-gm.extension:Seitenlokalisation.value[x]|Condition.code.coding:icd10-gm.extension:Seitenlokalisation.value[x].code|Condition.code.coding:icd10-gm.extension:Seitenlokalisation.value[x].system|Condition.encounter.reference|Condition.extension:Feststellungsdatum.url|Condition.extension:Feststellungsdatum.value[x]|Condition.extension:ReferenzPrimaerdiagnose.url|Condition.extension:ReferenzPrimaerdiagnose.value[x]|Condition.onset[x]:onsetAge.extension:Lebensphase-Beginn.url|Condition.onset[x]:onsetAge.extension:Lebensphase-Beginn.value[x]|Condition.onset[x]:onsetAge.extension:Lebensphase-Beginn.value[x].coding|Condition.onset[x]:onsetAge.extension:Lebensphase-Beginn.value[x].coding.code|Condition.onset[x]:onsetAge.extension:Lebensphase-Beginn.value[x].coding.system|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis.url|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis.value[x].coding|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis.value[x].coding.code|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis.value[x].coding.system|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von.url|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von.value[x].coding|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von.value[x].coding.code|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von.value[x].coding.system|Condition.subject.reference|Condition.verificationStatus.coding|Condition.verificationStatus.coding.code|Condition.verificationStatus.coding.system,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-diagnose/StructureDefinition/Diagnose,MII_PR_Diagnose_Condition,Condition,2026.0.1,2027.0.0-ballot,mixed,10,17,0,0,0,True,Condition.abatement[x]|Condition.abatement[x]:abatementAge|Condition.abatement[x]:abatementAge.extension:Lebensphase-Ende|Condition.abatement[x]:abatementAge.extension:Lebensphase-Ende.url|Condition.abatement[x]:abatementAge.extension:Lebensphase-Ende.value[x]|Condition.abatement[x]:abatementAge.extension:Lebensphase-Ende.value[x].coding|Condition.abatement[x]:abatementAge.extension:Lebensphase-Ende.value[x].coding.code|Condition.abatement[x]:abatementAge.extension:Lebensphase-Ende.value[x].coding.system|Condition.abatement[x]:abatementDateTime|Condition.bodySite.extension:bodySite,Condition.onset[x]:onsetPeriod|Condition.onset[x]:onsetPeriod.end|Condition.onset[x]:onsetPeriod.end.extension|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis.url|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis.value[x]|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis.value[x].coding|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis.value[x].coding.code|Condition.onset[x]:onsetPeriod.end.extension:lebensphase-bis.value[x].coding.system|Condition.onset[x]:onsetPeriod.start|Condition.onset[x]:onsetPeriod.start.extension|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von.url|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von.value[x]|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von.value[x].coding|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von.value[x].coding.code|Condition.onset[x]:onsetPeriod.start.extension:lebensphase-von.value[x].coding.system
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-fall/StructureDefinition/KontaktGesundheitseinrichtung,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter,2026.0.0,2026.0.1,mixed,40,0,8,8,0,False,Encounter.account.identifier|Encounter.account.identifier.system|Encounter.account.identifier.value|Encounter.class.code|Encounter.class.system|Encounter.diagnosis.use.coding:DiagnosesubTyp.code|Encounter.diagnosis.use.coding:DiagnosesubTyp.system|Encounter.diagnosis.use.coding:Diagnosetyp.code|Encounter.diagnosis.use.coding:Diagnosetyp.system|Encounter.extension:Aufnahmegrund.extension:DritteStelle.url|Encounter.extension:Aufnahmegrund.extension:DritteStelle.value[x]|Encounter.extension:Aufnahmegrund.extension:ErsteUndZweiteStelle.url|Encounter.extension:Aufnahmegrund.extension:ErsteUndZweiteStelle.value[x]|Encounter.extension:Aufnahmegrund.extension:VierteStelle.url|Encounter.extension:Aufnahmegrund.extension:VierteStelle.value[x]|Encounter.hospitalization.admitSource.coding|Encounter.hospitalization.admitSource.coding.code|Encounter.hospitalization.admitSource.coding.system|Encounter.hospitalization.dischargeDisposition.extension:Entlassungsgrund.extension:DritteStelle|Encounter.hospitalization.dischargeDisposition.extension:Entlassungsgrund.extension:DritteStelle.url|Encounter.hospitalization.dischargeDisposition.extension:Entlassungsgrund.extension:DritteStelle.value[x]|Encounter.hospitalization.dischargeDisposition.extension:Entlassungsgrund.extension:ErsteUndZweiteStelle|Encounter.hospitalization.dischargeDisposition.extension:Entlassungsgrund.extension:ErsteUndZweiteStelle.url|Encounter.hospitalization.dischargeDisposition.extension:Entlassungsgrund.extension:ErsteUndZweiteStelle.value[x]|Encounter.hospitalization.dischargeDisposition.extension:Entlassungsgrund.url|Encounter.location:Bett.physicalType.coding|Encounter.location:Bett.physicalType.coding.code|Encounter.location:Bett.physicalType.coding.system|Encounter.location:Station.physicalType.coding|Encounter.location:Station.physicalType.coding.code|Encounter.location:Station.physicalType.coding.system|Encounter.location:Zimmer.physicalType.coding|Encounter.location:Zimmer.physicalType.coding.code|Encounter.location:Zimmer.physicalType.coding.system|Encounter.partOf.reference|Encounter.subject.reference|Encounter.type:KontaktArt.coding.code|Encounter.type:KontaktArt.coding.system|Encounter.type:Kontaktebene.coding.code|Encounter.type:Kontaktebene.coding.system,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-fall/StructureDefinition/KontaktGesundheitseinrichtung,MII_PR_Fall_KontaktGesundheitseinrichtung,Encounter,2026.0.1,2027.0.0-ballot,identical,0,0,0,0,0,False,,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Patient,MII_PR_Person_Patient,Patient,2026.0.0,2026.0.1,elements-added,27,0,0,0,0,False,Patient.address:Postfach.city.extension:gemeindeschluessel.url|Patient.address:Postfach.city.extension:gemeindeschluessel.value[x]|Patient.address:Postfach.city.extension:gemeindeschluessel.value[x].code|Patient.address:Postfach.city.extension:gemeindeschluessel.value[x].system|Patient.address:Strassenanschrift.city.extension:gemeindeschluessel.url|Patient.address:Strassenanschrift.city.extension:gemeindeschluessel.value[x]|Patient.address:Strassenanschrift.city.extension:gemeindeschluessel.value[x].code|Patient.address:Strassenanschrift.city.extension:gemeindeschluessel.value[x].system|Patient.deceased[x]:deceasedBoolean|Patient.deceased[x]:deceasedDateTime|Patient.gender.extension:other-amtlich.url|Patient.gender.extension:other-amtlich.value[x]|Patient.gender.extension:other-amtlich.value[x].code|Patient.gender.extension:other-amtlich.value[x].system|Patient.identifier:pid.assigner.identifier|Patient.identifier:pid.assigner.identifier.type.coding|Patient.identifier:pid.assigner.identifier.type.coding.code|Patient.identifier:pid.assigner.identifier.type.coding.system|Patient.identifier:pid.type.coding|Patient.identifier:pid.type.coding.code|Patient.identifier:pid.type.coding.system|Patient.identifier:versichertenId.assigner.identifier.type.coding|Patient.identifier:versichertenId.assigner.identifier.type.coding.code|Patient.identifier:versichertenId.assigner.identifier.type.coding.system|Patient.identifier:versichertenId.type.coding|Patient.identifier:versichertenId.type.coding.code|Patient.identifier:versichertenId.type.coding.system,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Patient,MII_PR_Person_Patient,Patient,2026.0.1,2027.0.0-ballot,elements-added,49,0,0,0,0,False,Patient.extension|Patient.extension:birthPlace|Patient.extension:birthPlace.url|Patient.extension:birthPlace.value[x]|Patient.extension:birthPlace.value[x].country|Patient.extension:birthPlace.value[x].country.extension|Patient.extension:birthPlace.value[x].country.extension:countryCode|Patient.extension:birthPlace.value[x].country.extension:countryCode.value[x]|Patient.extension:birthPlace.value[x].country.extension:countryCode.value[x].code|Patient.extension:birthPlace.value[x].country.extension:countryCode.value[x].system|Patient.extension:patient-citizenship|Patient.extension:patient-citizenship.extension:code|Patient.extension:patient-citizenship.extension:code.url|Patient.extension:patient-citizenship.extension:code.value[x]|Patient.extension:patient-citizenship.extension:code.value[x].coding|Patient.extension:patient-citizenship.extension:code.value[x].coding.code|Patient.extension:patient-citizenship.extension:code.value[x].coding.system|Patient.extension:patient-citizenship.extension:period|Patient.extension:patient-citizenship.extension:period.url|Patient.extension:patient-citizenship.extension:period.value[x]|Patient.extension:patient-citizenship.url|Patient.extension:patient-nationality|Patient.extension:patient-nationality.extension:code|Patient.extension:patient-nationality.extension:code.url|Patient.extension:patient-nationality.extension:code.value[x]|Patient.extension:patient-nationality.extension:code.value[x].coding|Patient.extension:patient-nationality.extension:code.value[x].coding.code|Patient.extension:patient-nationality.extension:code.value[x].coding.system|Patient.extension:patient-nationality.extension:period|Patient.extension:patient-nationality.extension:period.url|Patient.extension:patient-nationality.extension:period.value[x]|Patient.extension:patient-nationality.url|Patient.extension:recordedSexOrGender|Patient.extension:recordedSexOrGender.extension:acquisitionDate|Patient.extension:recordedSexOrGender.extension:acquisitionDate.url|Patient.extension:recordedSexOrGender.extension:acquisitionDate.value[x]|Patient.extension:recordedSexOrGender.extension:type|Patient.extension:recordedSexOrGender.extension:type.url|Patient.extension:recordedSexOrGender.extension:type.value[x]|Patient.extension:recordedSexOrGender.extension:type.value[x].coding|Patient.extension:recordedSexOrGender.extension:type.value[x].coding.code|Patient.extension:recordedSexOrGender.extension:type.value[x].coding.system|Patient.extension:recordedSexOrGender.extension:value|Patient.extension:recordedSexOrGender.extension:value.url|Patient.extension:recordedSexOrGender.extension:value.value[x]|Patient.extension:recordedSexOrGender.extension:value.value[x].coding|Patient.extension:recordedSexOrGender.extension:value.value[x].coding.code|Patient.extension:recordedSexOrGender.extension:value.value[x].coding.system|Patient.extension:recordedSexOrGender.url,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,MII_PR_Person_PatientPseudonymisiert,Patient,2026.0.0,2026.0.1,elements-added,4,0,0,0,0,False,Patient.identifier:PseudonymisierterIdentifier.type|Patient.identifier:PseudonymisierterIdentifier.type.coding|Patient.identifier:PseudonymisierterIdentifier.type.coding:mr|Patient.identifier:PseudonymisierterIdentifier.type.coding:pseuded,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/PatientPseudonymisiert,MII_PR_Person_PatientPseudonymisiert,Patient,2026.0.1,2027.0.0-ballot,elements-added,4,0,0,0,0,False,Patient.extension|Patient.extension:birthPlace|Patient.extension:patient-citizenship|Patient.extension:patient-nationality,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Todesursache,MII_PR_Person_Todesursache,Condition,2026.0.0,2026.0.1,elements-added,13,0,0,0,0,False,Condition|Condition.category:todesDiagnose.coding:loinc.code|Condition.category:todesDiagnose.coding:loinc.system|Condition.category:todesDiagnose.coding:snomed.code|Condition.category:todesDiagnose.coding:snomed.system|Condition.clinicalStatus.coding|Condition.clinicalStatus.coding.code|Condition.clinicalStatus.coding.system|Condition.encounter.reference|Condition.subject.reference|Condition.verificationStatus.coding|Condition.verificationStatus.coding.code|Condition.verificationStatus.coding.system,
de.medizininformatikinitiative.kerndatensatz.base,base,https://www.medizininformatik-initiative.de/fhir/core/modul-person/StructureDefinition/Todesursache,MII_PR_Person_Todesursache,Condition,2026.0.1,2027.0.0-ballot,identical,0,0,0,0,0,False,,
