module,old_version,new_version,resource_type,old_name,new_name,score,jaccard,name_similarity,old_url,new_url,second_best,confirmed
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Arterieller_Blutdruck,MII_PR_ICU_MUV_Arterieller_Blutdruck,0.956,1.0,0.853,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/arterieller-blutdruck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-muv-arterieller-blutdruck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-arterieller-blutdruck (0.86),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Arterieller_Druck,MII_PR_ICU_Arterieller_Druck,0.968,1.0,0.893,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/arterieller-druck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-arterieller-druck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-ect-arterieller-druck (0.95),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Atemfrequenz,MII_PR_ICU_Atemfrequenz,0.961,1.0,0.87,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/atemfrequenz,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-atemfrequenz,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-muv-atemfrequenz (0.94),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Atemwegsdruck_Bei_Mitl_Exspiratorischem_Gasfluss,MII_PR_ICU_VENT_Atemwegsdruck_Bei_Mitl_Exspiratorischem_Gasfluss,0.973,1.0,0.911,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/atemwegsdruck-bei-mitl-exspiratorischem-gasfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-atemwegsdruck-bei-mitl-exspiratorischem-gasfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-atemwegsdruck-bei-null-exspiratorischem-gasfluss (0.96),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Atemwegsdruck_Bei_Null_Exspiratorischem_Gasfluss,MII_PR_ICU_VENT_Atemwegsdruck_Bei_Null_Exspiratorischem_Gasfluss,0.973,1.0,0.911,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/atemwegsdruck-bei-null-exspiratorischem-gasfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-atemwegsdruck-bei-null-exspiratorischem-gasfluss,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-atemwegsdruck-bei-mitl-exspiratorischem-gasfluss (0.96),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Atemzugvolumen_Einstellung,MII_PR_ICU_VENT_Atemzugvolumen_Einstellung,0.958,1.0,0.861,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/atemzugvolumen-einstellung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-atemzugvolumen-einstellung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-atemzugvolumen-einstellung (0.89),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Atemzugvolumen_Waehrend_Beatmung,MII_PR_ICU_VENT_Atemzugvolumen_Waehrend_Beatmung,0.964,1.0,0.879,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/atemzugvolumen-waehrend-beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-atemzugvolumen-waehrend-beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-atemzugvolumen-waehrend-beatmung (0.88),
icu,2025.0.4,2026.0.0,Procedure,SD_MII_ICU_Beatmung,MII_PR_ICU_VENT_Beatmung,0.923,1.0,0.744,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-beatmung,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-beatmung (0.83),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Beatmungsvolumen_Pro_Minute_Maschineller,MII_PR_ICU_VENT_Beatmungsvolumen_Pro_Minute_Maschineller,0.969,1.0,0.897,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/beatmungsvolumen-pro-minute-maschineller,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-beatmungsvolumen-pro-minute-maschineller,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-beatmungsvolumen-pro-minute-maschineller-beatmung (0.86),
icu,2025.0.4,2026.0.0,Observation,SD_MII_ICU_Beatmungszeit_Hohem_Druck,MII_PR_ICU_VENT_Beatmungszeit_Hohem_Druck,0.957,1.0,0.857,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/beatmungszeit-hohem-druck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-beatmungszeit-hohem-druck,https://www.medizininformatik-initiative.de/fhir/ext/modul-icu/StructureDefinition/mii-pr-icu-vent-beatmungszeit-niedrigem-druck (0.92),
